# time(ps) 	kappa_ee_mean	kappa_ee_upper	kappa_ee_lower
5.650000e-01	6.745889e-01	nan	nan
5.660000e-01	7.120080e-01	nan	nan
5.670000e-01	7.492860e-01	nan	nan
5.680000e-01	7.860630e-01	nan	nan
5.690000e-01	8.219852e-01	nan	nan
5.700000e-01	8.567086e-01	nan	nan
5.710000e-01	8.899022e-01	nan	nan
5.720000e-01	9.212509e-01	nan	nan
5.730000e-01	9.504588e-01	nan	nan
5.740000e-01	9.772518e-01	nan	nan
5.750000e-01	1.001380e+00	nan	nan
5.760000e-01	1.022621e+00	nan	nan
5.770000e-01	1.040780e+00	nan	nan
5.780000e-01	1.055695e+00	nan	nan
5.790000e-01	1.067234e+00	nan	nan
5.800000e-01	1.075300e+00	nan	nan
5.810000e-01	1.079831e+00	nan	nan
5.820000e-01	1.080798e+00	nan	nan
5.830000e-01	1.078209e+00	nan	nan
5.840000e-01	1.072108e+00	nan	nan
5.850000e-01	1.062572e+00	nan	nan
5.860000e-01	1.049712e+00	nan	nan
5.870000e-01	1.033674e+00	nan	nan
5.880000e-01	1.014632e+00	nan	nan
5.890000e-01	9.927912e-01	nan	nan
5.900000e-01	9.683844e-01	nan	nan
5.910000e-01	9.416680e-01	nan	nan
5.920000e-01	9.129207e-01	nan	nan
5.930000e-01	8.824403e-01	nan	nan
5.940000e-01	8.505403e-01	nan	nan
5.950000e-01	8.175467e-01	nan	nan
5.960000e-01	7.837948e-01	nan	nan
5.970000e-01	7.496254e-01	nan	nan
5.980000e-01	7.153814e-01	nan	nan
5.990000e-01	6.814042e-01	nan	nan
6.000000e-01	6.480304e-01	nan	nan
6.010000e-01	6.155883e-01	nan	nan
6.020000e-01	5.843946e-01	nan	nan
6.030000e-01	5.547517e-01	nan	nan
6.040000e-01	5.269444e-01	nan	nan
6.050000e-01	5.012377e-01	nan	nan
6.060000e-01	4.778742e-01	nan	nan
6.070000e-01	4.570717e-01	nan	nan
6.080000e-01	4.390220e-01	nan	nan
6.090000e-01	4.238886e-01	nan	nan
6.100000e-01	4.118057e-01	nan	nan
6.110000e-01	4.028772e-01	nan	nan
6.120000e-01	3.971756e-01	nan	nan
6.130000e-01	3.947416e-01	nan	nan
6.140000e-01	3.955838e-01	nan	nan
6.150000e-01	3.996789e-01	nan	nan
6.160000e-01	4.069713e-01	nan	nan
6.170000e-01	4.173744e-01	nan	nan
6.180000e-01	4.307709e-01	nan	nan
6.190000e-01	4.470140e-01	nan	nan
6.200000e-01	4.659289e-01	nan	nan
6.210000e-01	4.873141e-01	nan	nan
6.220000e-01	5.109440e-01	nan	nan
6.230000e-01	5.365701e-01	nan	nan
